school,Street,URI,Email,Religion,School Cluster,Postal Code,NTG Geographic Definition,Type,Fax Number,,,Enrolment,Telephone Number,Suburb,Postal Address,State
Mbunghara School,,,mbunghara.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8503,,,13,(08) 8956 8503,Mbunghara,"PMB 242, via Alice Springs",NT
Middle Point School,615 Anzac Pde,http://www.schools.nt.edu.au/tegs/middlep/midd.htm,middle.pt@ntschools.net,Government,Palmerston & Rural,836,Provincial,Group School,(08) 8988 8023,,,37,(08) 8988 1688,Middle Point,"PO Box 96, Humpty Doo",NT
Milikapiti School,,http://www.schools.nt.edu.au/tegs/milik/mili.htm,milikapiti.school@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8978 3925,,,93,(08) 8978 3960,Milikapiti (Snake Bay),"PMB 96, via Winnellie",NT
Milingimbi CEC,,,admin.milincec@ntschools.net,Government,Arnhem,822,Very Remote,Community School,(08) 8987 9926,,,273,(08) 8987 9902,Milingimbi,"PMB 54, Milingimbi, via Winnellie",NT
Milingimbi Pre School,,,,,,,,Pre School,(08) 8987 9926,,,0,(08) 8987 9902,Milingimbi,,
Milkwood Steiner,3 Cecil Cook Ave,,milkwoodschool@octa4.net.au,Independant,Northern Suburbs,812,,Primary School,08 8927 0175,,,62,08 8927 0170,Marrara,"PO Box 737, Nightcliff",NT
Millner Pre School,10 Robinson Rd,,,,,,,Pre School,(08) 8948 0751,,,0,(08) 8948 1163,Millner,,
Millner Primary School,41 Sabine Rd,http://www.schools.nt.edu.au/millner/home.html,admin.millnerps@ntschools.net,Government,Darwin City,810,Provincial,Primary School,(08) 8948 0751,,,238,(08) 8948 1163,Millner,"Sabine Rd, Millner",NT
Milyakburra School,,,adrian.conroy@ntschools.net,Government,Arnhem,885,Very Remote,Group School,(08) 8987 6049,,,30,(08) 8987 6084,Milyakburra (Bickerton Is),"PMB 5, Alyangula",NT
Minyerri Pre School,,,,,,,,Pre School,(08) 8975 9893,,,0,(08) 8975 9972,Minyerri (Hodgson Downs),,
Minyerri School,,http://www.schools.nt.edu.au/kathgs/minyerri/minyerri.htm,,Government,Rivers,851,Very Remote,Community School,(08) 8975 9893,,,177,(08) 8975 9972,Minyerri (Hodgson Downs),"PMB 40, Katherine",NT
Mitchell School,"12th Floor Mitchell Centre, 55-59 Mitchell Street",,,Government,,810,,Test Purposes,,,,0,,Darwin City,,
Moil Pre School,37 Lanyon Tce,,,,,,,Pre School,(08) 8920 6869,,,0,(08) 8920 6870,Moil,,
Moil Primary School,37 Lanyon Tce,http://www.schools.nt.edu.au/moilps/,admin.moilsch@ntschools.net,Government,Darwin City,810,Provincial,Primary School,(08) 8920 6869,,,282,(08) 8920 6868,Moil,"Lanyon Tce, Moil",NT
Moulden Pre School,103 Bonson Tce,,,,,,,Pre School,(08) 8932 3214,,,0,(08) 8932 1133,Moulden,,
Moulden Primary School,103 Bonson Tce,,mouldenps.admin@ntschools.net,Government,Palmerston & Rural,831,Provincial,Primary School,(08) 8932 3214,,,437,(08) 8932 1133,Moulden,"PO Box 80, PALMERSTON",NT
Mount Allen School,,,michael.kinnane@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8846,,,50,(08) 8956 8860,Yuelamu (Mt Allen),"PMB 6, via Alice Springs",NT
Murray Downs School,Outstation,,sheri.nicholls@ntschools.net,Government,Central Storm,872,Very Remote,Group School,(08) 8964 1993,,,39,(08) 8964 1951,Murray Downs(Imangara),"PMB 48, Alice Springs",NT
Murrupurtiyanuwu Catholic School,Kerinavia Hwy,,maryann.hinton@latis.net.au,Catholic,Palmerston & Rural,821,Very Remote,Community School,(08) 89783922,,,255,(08) 89783986,Nguiu,"Nguiu, Bathurst Island, via Winnellie",NT
Mutjitjulu School,,,mutitsch@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 2176,,,32,(08) 8956 2547,Ayers Rock,"Community Mail Agency, Ininti Store, Ayers Rock",NT
Nakara Pre School,35 Nakara Tce,,,,,,,Pre School,(08) 8927 7994,,,0,(08) 8927 9823,Nakara,,
Nakara Primary School,35 Nakara Tce,http://www.schools.nt.edu.au/nakara/,nakara.primary@ntschools.net,Government,Northern Suburbs,810,Provincial,Primary School,(08) 8927 7994,,,476,(08) 8927 9823,Nakara,"Goodman St, Nakara",NT
Nemarluk School,41 Bagot Rd,,admin.nemarluk@ntschools.net,Government,Darwin City,821,Provincial,Special Purpose School,(08) 8948 0016,,,92,(08) 8985 3100,Ludmilla,"PO Box 39729, Winnellie",NT
Neutral Junction School,Stuart Hwy,,kath.major@ntschools.net,Government,Central Storm,872,Very Remote,Group School,(08) 8956 9754,,,26,(08) 8956 9754,Neutral Junction,"Neutral Junction Station, PMB 245, via Alice Springs",NT
Newcastle Waters School,11 Drovers Dr,,rosemary.raymond@ntschools.net,Government,Central Storm,862,Very Remote,Group School,(08) 8964 4637,,,27,(08) 8964 4566,Newcastle Waters,"Newcastle Waters Station, via Elliott",NT
Nganmarriyanga School,,http://www.schools.nt.edu.au/tegs/nganmar/ngan.htm,nganmar.ps@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8978 2575,,,154,(08) 8978 2380,Palumpa,"PMB 85, via Winnellie",NT
Ngukurr Pre School,Bawuda St,,,,,,,Pre School,(08) 8975 4681,,,0,(08) 8975 4680,Ngukurr,,
Ngukurr School,Bawuda St,http://www.schools.nt.edu.au/riverscluster/ngukurr/default.htm,ngukurr.cec@ntschools.net,Government,Rivers,851,Very Remote,Community School,(08) 8975 4681,,,327,(08) 8975 4680,Ngukurr,"PMB 138, KKatherine",NT
Nhulunbuy Christian School,,,admin@lncs.nt.edu.au,Independant,Arnhem,881,Very Remote,Primary School,(08) 89872357,,,147,(08) 89872187,Nhulunbuy,"PO Box 621, Nhulunbuy",NT
Nhulunbuy High School,51 Matthew Flinders Way,http://www.schools.nt.edu.au/nhulhs/,nhulunbuy.high@ntschools.net,Government,Arnhem,881,Very Remote,High School,(08) 8987 1944,,,305,(08) 8987 0844,Nhulunbuy,"PO Box 1096, Nhulunbuy",NT
Nhulunbuy Pre School,36 Chesterfield Cct,,,,,,,Pre School,(08) 8987 2203,,,0,(08) 8987 0422,Nhulunbuy,,
Nhulunbuy Primary School,Chesterfield Cct,http://www.nhulunbuy.atwone.com/,Nps.frontoffice@ntschools.net,Government,Arnhem,881,Very Remote,Primary School,(08) 89872203,,,559,(08) 89870422,Nhulunbuy,"PO Box 321, Nhulunbuy",NT
Nightcliff Middle School,90 Aralia St,http://www.nightcliffhigh.com.au/,admin.nighths@ntschools.net,Government,Darwin City,810,Provincial,Middle School,(08) 8985 0860,,,275,(08) 8985 0850,Rapid Creek,"Ryland Rd, Nightcliff",NT
Nightcliff Pre School,17 Pandanus St,,,,,,,Pre School,(08) 8948 8499,,,0,(08) 8948 8488,Nightcliff,,
Nightcliff Primary School,17 Pandanus St,http://www.schools.nt.edu.au/nightcliffps/,nightcliff.ps@ntschools.net,Government,Darwin City,810,Provincial,Primary School,(08) 8948 8499,,,529,(08) 8948 8488,Nightcliff,"PO BOX 798, Nightcliff",NT
Northern Territory Rural College,Stuart Hwy,not available,ntrural@cdu.edu.au,Independant,Rivers,851,not available,Senior College,(08) 89723562,,,0,(08) 89738311,Katherine,"PMB 155, Katherine",NT
Nt Christian College,,,,Catholic,,,,High School,,,,90,,,,NT
NT Music School,Ryland Road,,rebecca.leach@ntschools.net,government,Darwin City,810,,Open Learning Centre,(08) 89481778,,,0,(08) 89850872,Nightcliff,"c/o Nightcliff High School, Ryland Rd, Nightcliff",NT
NT Open Education Centre,19 Chrisp St,http://www.ntoec.nt.edu.au/site/frontpage.cfm,ntoec.admin@ntschools.net,Government,Darwin City,811,Remote,Open Learning Centre,(08) 89222258,,,1123,(08) 89222292,Rapid Creek,"PO Box 40471, Casuarina",NT
Ntaria School,,http://www.deadlymob.org/col2_ob.cfm?randid=581122,ntaria.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 7409,,,133,(08) 8956 7424,Hermannsburg (Ntaria),"PMB 4, Alice Springs",NT
Numbulwar Pre School,,,,,,,,Pre School,(08) 8975 4651,,,0,(08) 8975 4650,Numbulwar,,
Numbulwar School,,,principal.numbulwar@ntschools.net,Government,Arnhem,852,Very Remote,Community School,(08) 8975 4651,,,250,(08) 8975 4650,Numbulwar,"PMB 68, via Katherine",NT
Nyangatjatjara Colege - Docker Rvr Campus,,,ncolldocker@octa4.net.au,Independant,Desert Oaks,872,,Community School,(08) 89567036,,,72,(08) 89567098,Kaltukatjara (Docker River),"PO Box 171, Yulara",NT
Nyangatjatjara Colege - Imanpa Campus,,,ncollimanpa@octa4.net.au,Independant,Desert Oaks,872,,Community School,(08) 89567038,,,0,(08) 89567038,,"PO Box 171, Yulara",NT
Nyangatjatjara Colege - Mutitjulu Campus,,,ncollmutitjulu@octa4.net.au,Independant,Desert Oaks,872,,Community School,(08) 89562688,,,0,(08) 89562270,,"PO Box 171, Yulara",NT
Nyangatjatjara Colege - Yulara Campus,,,ncollege@octa4.net.au,Independant,Desert Oaks,872,Very Remote,Community School,(08) 89562466,,,0,(08) 89562555,Yulara,"PO Box 171, Yulara",NT
Nyirripi School,,http://www.deadlymob.org/col2_ob.cfm?randid=590255,wendy.jones@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8397,,,38,(08) 8956 8880,Nyirripi,"PMB 125, via Alice Springs",NT
Oloughlin Catholic College,70 Mueller Rd,http://www.oloughlin.nt.catholic.edu.au/default.htm,secretary@oloughlin.nt.catholic.edu.au,Catholic,Northern Suburbs,812,Provincial,High School,(08) 89277140,,,470,(08) 89451277,Karama,"PO Box 41911, Casuarina",NT
OLSH College - Sadadeen Campus,Sadadeen Rd,http://www.olshalice.nt.edu.au/,principal@olshalice.nt.catholic.edu.au,Catholic,Central Storm,871,Remote,Community School,(08) 89532624,,,922,(08) 89508666,Alice Springs,"PO Box 2508, Alice Springs",NT
OLSH College - Traeger Campus,8 Traeger Ave,http://www.olshalice.nt.edu.au/,principal@olshalice.nt.catholic.edu.au,Catholic,Central Storm,871,,Community School,(08) 89532624,,,348,(08) 89508666,Alice Springs,"PO Box 2508, Alice Springs",NT
OLSH Port Keats,,,olsh.school@ntschools.net,Catholic,Palmerston & Rural,822,Very Remote,Community School,(08) 89782300,,,0,(08) 89782477,Wadeye (Port Keats),"Wadeye, Port Keats, via Winnellie",NT
OLSH Primary School,5 Bath St,http://www.olshalice.nt.edu.au/,principal@olshalice.nt.edu.au,Catholic,Central Storm,871,,Primary School,(08) 89524607,,,0,(08) 89506400,Alice Springs,"PO Box 2508, Alice Springs",NT
Palmerston Christian School,"50 Waler Road, Marlow Lagoon",www.pcs.nt.edu.au,admin@pcs.nt.edu.au,Independant,Palmerston & Rural,831,Provincial,Primary School,(08) 89323440,,,265,(08) 89323377,Marlow Lagoon,"PO Box 113, Palmerston",NT
Palmerston High School,10 Tilston Ave,http://www.schools.nt.edu.au/palmhs/,Palmerston.high@ntschools.net,Government,Palmerston & Rural,831,Provincial,High School,(08) 8932 2232,,,1060,(08) 8935 0222,Driver,"PO Box 8, Palmerston",NT
Papunya School,,,papunya.admin@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8651,,,100,(08) 8956 8515,Papunya,"PMB 77, Alice Springs",NT
Parap Pre School,61 Ross Smith Ave,,,,,,,Pre School,(08) 8982 2911,,,0,(08) 8982 2922,Parap,,
Parap Primary School,52 Parap Rd,http://www.schools.nt.edu.au/parap/,parapps.office@ntschools.net,Government,Darwin City,804,Provincial,Primary School,(08) 8982 2911,,,431,(08) 8982 2922,Parap,"PO Box 69, Parap",NT
Peppimenarti School,,http://www.schools.nt.edu.au/tegs/peppimen/pepp.htm,valdis.martins@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8978 2578,,,56,(08) 8978 2455,Peppimenarti,"PMB 49, via Winnellie",NT
Pigeon Hole School,,,admin.pigeosch@ntschools.net,Government,Rivers,852,Very Remote,Group School,(08) 8975 0745,,,50,(08) 8975 0812,Pigeon Hole,"PMB 10, via Katherine",NT
Pine Creek School,,http://www.schools.nt.edu.au/kathgs/pineCreek/pineCreek.htm,,Government,Rivers,847,Remote,Group School,(08) 8976 1246,,,62,(08) 8976 1228,Pine Creek,"PO Box 196, PPine Creek",NT
Pularumpi School,Pularumpi,http://www.schools.nt.edu.au/tegs/pularump/pula.htm,principal.pularumpi@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8978 3723,,,92,(08) 8978 3961,Pirlangimpi,"PMB 51, via Winnellie",NT
Ramingining Pre School,,,,,,,,Pre School,(08) 8979 7916,,,0,(08) 8979 7924,Ramingining,,
Ramingining School,,,coralyn.armstrong@ntschools.net,Government,Arnhem,822,Very Remote,Community School,(08) 8979 7916,,,272,(08) 8979 7924,Ramingining,"PMB 125, via Darwin",NT
Robinson River School,,http://www.deadlymob.org/col2_ob.cfm?randid=272331,robin.school@ntschools.net,Government,Palmerston and Rural,851,Very Remote,Group School,(08) 8975 9838,,,56,(08) 8975 9956,Robinson River,"PMB 145, Katherine",NT
Rockhampton Downs School,Community ID 259,,lynette.milnes@ntschools.net,Government,Central Storm,862,Very Remote,Group School,(08) 8964 4678,,,9,(08) 8964 4675,Wogyala,"PMB 34, Tennant Creek",NT
Rona Glynn Pre School,2 Mckay St,,,,,,,Pre School,(08) 8952 6524,,,0,(08) 8952 1333,Alice Springs,,
Ross Park Primary School,7 Winnecke Ave,http://www.schools.nt.edu.au/rosspark/,rosspark.school@ntschools.net,Government,Central Storm,871,Provincial,Primary School,(08) 8952 6524,,,391,(08) 8952 1333,Alice Springs,"PO Box 364, Alice Springs",NT
Royal Darwin Hospital,"Rocklands Drive, Tiwi",,anne.clifford@ntschools.net,government,Northern Suburbs,810,,Primary School,(08) 89228252,,,0,(08) 89228736,Tiwi,"C/o Nakara Primary School, Goodman St, Nakara",NT
Sacred Heart Primary School,34 Emery Ave,http://www.shps.nt.catholic.edu.au/,admin@shps.nt.catholic.edu.au,Catholic,Palmerston & Rural,831,Provincial,Primary School,(08) 89322388,,,344,(08) 89322888,Woodroffe,"PO Box 271, Palmerston",NT
Sadadeen Pre School,80 Spearwood Rd,,,,,,,Pre School,(08) 8953 2912,,,0,(08) 8952 6044,Alice Springs,,
Sadadeen Primary School,80 Spearwood Rd,http://www.schools.nt.edu.au/sadadsch,sadadeen.primary@ntschools.net,Government,Central Storm,871,Provincial,Primary School,(08) 8953 2912,,,270,(08) 8952 6044,Alice Springs,"PO Box 2707, AAlice Springs",NT
Sanderson Middle School,60 Matthews Rd,http://www.sanderson.nt.edu.au/,sanderson.high@ntschools.net,Government,Northern Suburbs,813,Provincial,Middle School,(08) 8927 2127,,,480,(08) 8927 8899,Malak,"PO Box 189, Sanderson",NT
Sandover Group School,"Block A, Alice Springs High, Milner Road",,therese.hicks@nt.gov.au,,,870,,Group School Office,(08) 89504289,,,0,08 89504260,,PO Box 1420,Alice Springs
School Sport NT,Sabine Road,www.schools.nt.edu.au/ssnt/,email.ssnt@ntschools.net,government,Darwin City,810,Provincial,Primary School,(08) 89480257,,,0,(08) 89480025,Millner,"PO Box 1992, Casuarina, NT, 0811",NT
Shepherdson College,Wakirana St,,kaye.thurlow@ntschools.net,Government,Arnhem,822,Very Remote,Community School,(08) 8987 9060,,,680,(08) 8987 9044,Galiwinku,"PMB 74, via Winnellie",NT
Shepherdson Pre School,Wakirana St,,,,,,,Pre School,(08) 8987 9060,,,0,(08) 8987 9044,Galiwinku,,
St Andrew Lutheran School,94 Leanyer Dr,http://home.austarnet.com.au/sals/,sals.admin@ntschools.net,Independant,Northern Suburbs,811,Provincial,Primary School,(08) 89275739,,,90,(08) 89451044,Leanyer,"PO Box 41110, Casuarina",NT
St Francis Assisi School,56 Challoner Cct,,admin@sfas.nt.catholic.edu.au,Catholic,Palmerston & Rural,836,Provincial,Primary School,(08) 89881514,,,103,(08) 89881212,Humpty Doo,"PO Box 921, Humpty Doo",NT
St Francis Xaviers School,,,admin@sfrx.nt.catholic.edu.au,Catholic,Palmerston & Rural,822,Very Remote,Community School,(08) 89782590,,,65,(08) 89782427,Nauiyu,"PMB 28, Daly River",NT
St Johns Catholic College,54 Salonika St,http://www.stjohns.nt.catholic.edu.au/,admin@stjohns.nt.catholic.edu.au,Catholic,Darwin City,820,Provincial,High School,(08) 89411732,,,452,(08) 89822222,The Gardens,"Mail Bag 13, Darwin",NT
St Joseph's School,Maluka Rd,http://www.schools.nt.edu.au/stjoseph/,admin@stjosephs.nt.catholic.edu.au,Catholic,Rivers,850,Remote,Community School,(08) 89723701,,,259,(08) 89723555,Katherine East,"PO Box 535, Katherine",NT
St Mary's Catholic School,3 Lindsay St,,admin@stmarysps.nt.catholic.edu.au,Catholic,Darwin City,801,Provincial,Primary School,(08) 89815286,,,302,(08) 89819796,Darwin City,"PO Box 389, Darwin",NT
St Pauls Catholic School,41 Francis St,http://www.stpaulsps.nt.catholic.edu.au/,admin@stpaulsps.nt.catholic.edu.au,Catholic,Darwin City,811,Provincial,Primary School,(08) 89480227,,,186,(08) 89851937,Rapid Creek,"PO Box 40344, Casuarina",NT
St Philip's College,2 Ulpaya Rd,http://www.stphilips.nt.edu.au/,info@stphilips.nt.edu.au,Independant,Central Storm,871,Remote,High School,(08) 89522822,,,601,(08) 89504511,Alice Springs,"PO Box 33, Alice Springs",NT
Star Centre - Alice Springs,,,,,,,,Open Learning Centre,,,,0,,,,
Stirling Station School,,,michelle.hundt@ntschools.net,Government,Central Storm,872,Very Remote,Group School,(08) 8956 9759,,,16,(08) 8956 9759,Wilora (Stirling Stn),"Stirling Station, via Alice Springs",NT
Stuart Park Pre School,8 Nudl St,,,,,,,Pre School,(08) 8941 1854,,,0,(08) 8981 6260,Stuart Park,,
Stuart Park Primary School,8 Nudl St,http://www.schools.nt.edu.au/stuartpk/,stuartpark.school@ntschools.net,Government,Darwin City,820,Provincial,Primary School,(08) 8941 1854,,,500,(08) 8981 6260,Stuart Park,"Nudl St, SStuart Park",NT
Taminmin High School,70 Challoner Cct,http://www.taminmin.nt.edu.au/,admin.taminhs@ntschools.net,Government,Palmerston & Rural,836,Provincial,High School,(08) 8988 2351,,,1030,(08) 8988 0000,Humpty Doo,"PO Box 21, Humpty Doo",NT
Tanami Group School,,,andrew.mirtschin@nt.gov.au,,,871,,Group School Office,(08) 89504259,,,0,(08) 89504230,Block A Alice Springs High School,PO Box 1420,
Tennant Creek High School,38 Stuart St,,meg.iles@ntschools.net,Government,Central Storm,861,Very Remote,High School,(08) 8962 3334,,,284,(08) 8962 2102,Tennant Creek,"PO Box 546, Tennant Creek",NT
Tennant Creek Pre School,31 Paterson St,,,,,,,Pre School,(08) 8962 4424,,,0,(08) 8962 4422,Tennant Creek,,
Tennant Creek Primary School,31 Paterson St,,jack.favilla@ntschools.net,Government,Central Storm,861,Very Remote,Primary School,(08) 8962 4424,,,386,(08) 8962 4422,Tennant Creek,"PO Box 506, Tennant Creek",NT
Teppa Hill Pre School,Kekwick Ave,,,,,,,Pre School,(08) 89534454,,,0,(08) 89521783,Alice Springs,,
Ti Tree School,26 Palmer St,,titree.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 9999,,,76,(08) 8956 9743,Ti-Tree,"Ti Tree, via Alice Springs",NT
Timber Creek School,62 Wilson St,http://www.schools.nt.edu.au/kathgs/timberCreek/timberCreek.htm,,Government,Rivers,851,Very Remote,Group School,(08) 8975 0683,,,48,(08) 8975 0714,Timber Creek,"PMB 115, via Katherine",NT
Tipperary School,Daly River Rd,http://www.schools.nt.edu.au/tegs/tipper/tipp.htm,tipperary.school@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8978 2786,,,13,(08) 8978 2765,Tipperary,"PMB 214, Winnellie",NT
Titjikala School,,,anne.stanley@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 0914,,,34,(08) 8956 0927,Titjikala (Maryvale),"Maryvale Station, PMB 130, via Alice Springs",NT
Top End Group School,"1st Floor Ludmilla Primary School, 41 Bagot Rd",http://www.schools.nt.edu.au/tegs/,leonie.jones@nt.gov.au,,,801,,Group School Office,(08) 8999 3227,,,0,(08) 8999 3208,Ludmilla,"PO Box 4821, Darwin",NT
Ukaka Homeland Centre,,,ukaka@bigpond.com.au,Government,Desert Oaks,871,Very Remote,Group School,(08) 8956 7250,,,9,(08) 8956 7250,Ukaka,"PMB 115, via Alice Springs",NT
Umbakumba School,,,matt.watson@ntschools.net,Government,Arnhem,822,Very Remote,Group School,(08) 8987 6774,,,121,(08) 8987 6793,Umbakumba,"PO Box 698, Alyangula",NT
Urapunga School,Blyth St,http://www.schools.nt.edu.au/kathgs/urapunga/urapunga.htm,sue.hearnden@ntschools.net,Government,Rivers,852,Very Remote,Group School,(08) 8975 4998,,,50,(08) 8975 4645,Rittarangu (Urapunga),"PMB 12, via Katherine",NT
Utopia School,Family Outstation,,utopia.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 9866,,,240,(08) 8956 9866,Ankerrapw (Utopia Homestead),PMB 18 Via Alice Springs,NT
Wagaman Pre School,35 Wagaman Tce,,,,,,,Pre School,(08) 8922 6000,,,0,(08) 8922 6011,Wagaman,,
Wagaman Primary School,35 Wagaman Tce,http://www.schools.nt.edu.au/wagaman/,wagaman.school@ntschools.net,Government,Northern Suburbs,811,Provincial,Primary School,(08) 8922 6000,,,253,(08) 8922 6011,Wagaman,"PO Box 40019, Casuarina",NT
Wallace Rockhole School,,http://www.schools.nt.edu.au/wallace/,wallace.rockhole@ntschools.net,Government,Desert Oaks,871,Very Remote,Group School,(08) 8956 7330,,,34,(08) 8956 7330,Wallace Rockhole,"PO Box 2256, Alice Springs",NT
Walungurru School,,http://www.schools.nt.edu.au/walungurru/,walungurru.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,,,,80,,Walungurru (Kintore),"PMB 14, via Alice Springs",NT
Wanguri Pre School,46 Gsell St,,,,,,,Pre School,(08) 8945 2193,,,0,(08) 8927 1655,Wanguri,,
Wanguri Primary School,46 Gsell St,http://www.schools.nt.edu.au/wangusch/,wanguri.prim@ntschools.net,Government,Northern Suburbs,811,Provincial,Primary School,(08) 8945 2193,,,292,(08) 8927 1655,Wanguri,"PO Box 40519, Casuarina",NT
Warrego School,Warrego Mine,,,Government,Central Storm,,Very Remote,Group School,,,,6,School Closed,Warrego,,NT
Warruwi School,,http://www.schools.nt.edu.au/tegs/warruwi/warr.htm,tim.morgan@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8979 0215,,,116,(08) 8979 0222,Warruwi (Goulburn Is),"PMB 90, via Winnellie",NT
Watiyawanu School,,,m.turenne@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8555,,,40,(08) 8956 8555,Mt Liebig,"PMB 111, via Alice Springs",NT
Willowra Education Centre,,,willowra.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8408,,,39,(08) 8956 8408,Willowra,"PMB 102, via Alice Springs",NT
Woodroffe Pre School,55 Woodroffe Ave,,,,,,,Pre School,(08) 8932 2190,,,0,(08) 8932 3788,Woodroffe,,
Woodroffe Primary School,55 Woodroffe Ave,http://www.schools.nt.edu.au/woodroffe/,woodroffe.ps@ntschools.net,Government,Palmerston & Rural,831,Provincial,Primary School,(08) 8932 2190,,,549,(08) 8932 3788,Woodroffe,"PO Box 2021, Palmerston",NT
Woodykupildiya Catholic School,,,,Catholic,Palmerston & Rural,821,Remote,Community School,(08) 89782021,,,9,(08) 89782234,Woodykupildiya,"PMB 132, Winnellie",NT
Woolaning Homeland Christian College,,,admin@whcc.nt.edu.au,Catholic,,845,Remote,High School,89782985,,,49,89781000,,"PO Box 173, Batchelor",NT
Woolaning School,Litchfield Park Rd,http://www.schools.nt.edu.au/tegs/woolan/wool.htm,admin.woolasch@ntschools.net,Government,Palmerston & Rural,821,Remote,Group School,(08) 8978 2600,,,8,(08) 8978 2334,Litchfield Park,"PMB 159, Winnellie",NT
Woolianna School,Wooliana Rd,http://www.schools.nt.edu.au/tegs/wooliann/wlnn.htm,woolianna.school@ntschools.net,Government,Palmerston & Rural,821,Very Remote,Group School,(08) 8978 2629,,,47,(08) 8978 2984,Daly River,"PMB 194, Winnellie",NT
Wugularr School,Balanda St,http://www.schools.nt.edu.au/kathgs/wugularr/wugularr.htm,admin.wugulsch@ntschools.net,Government,Rivers,851,Very Remote,Group School,(08) 8975 4872,,,130,(08) 8975 4529,Beswick,"PMB 6, Katherine",NT
Wulagi Pre School,35 Wulagi Cres,,,,,,,Pre School,(08) 8999 8765,,,0,(08) 8999 8799,Wulagi,,
Wulagi School,35 Wulagi Cres,,wulagi.primary@ntschools.net,Government,Northern Suburbs,812,Provincial,Primary School,(08) 8999 8765,,,216,(08) 8999 8799,Wulagi,"Brolga St, Wulagi",NT
Wurankuwu Homeland Learning Centre,Community ID 868,,k.puruntatameri@latis.net.au,Catholic,Palmerston & Rural,822,Very Remote,Community School,(08) 89783922,,,0,(08) 89783986,Wurankuwu,"Nguiu, Bathurst Island",NT
Xavier CEC,Kerinavia Hwy,,admin@xaviercec.nt.catholic.edu.au,Catholic,Palmerston & Rural,822,Very Remote,Community School,(08) 89783914,,,59,(08) 89783970,Nguiu,"PMB 139, via Winnellie",NT
Yarralin School,,http://www.schools.nt.edu.au/kathgs/yarralin/yarralin.htm,,Government,Rivers,851,Very Remote,Group School,(08) 8975 0899,,,80,(08) 8975 0809,Yarralin,"PMB 34, via Katherine",NT
Yipirinya School,Lovegrove Dr,,yipirinya@yipirinya.com.au,Independant,Desert Oaks,871,Remote,Primary School,(08) 89523541,,,191,(08) 89525633,Alice Springs,"C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs",NT
Yirara College,432 Stuart Hwy,http://www.yirara.nt.edu.au/,info@yirara.nt.edu.au,Independant,Desert Oaks,871,Remote,High School,(08) 89505666,,,240,(08) 89505644,Alice Springs,"PMB 51, Alice Springs",NT
Yirrkala CEC,Rankine Rd,,yirrkala.cec@ntschools.net,Government,Arnhem,881,Very Remote,Community School,(08) 8987 1725,,,189,(08) 8987 1988,Yirrkala,"PO Box 896, Nhulunbuy",NT
Yirrkala Homeland Centre,Galpu Rd,,yhs.admin@ntschools.net,Government,Arnhem,881,Very Remote,Special Purpose School,(08) 8987 1981,,,239,(08) 8987 1224,Yirrkala,"PO Box 896, Nhulunbuy",NT
Yirrkala Pre School,Rankine Rd,,,,,,,Pre School,(08) 8987 1725,,,0,(08) 8987 1988,Yirrkala,,
Yuendumu CEC,Conniston Rd,http://www.yuendumucec.com.au/,michelle.densley@ntschools.net,Government,Desert Oaks,870,Very Remote,Community School,(08) 8956 4001,,,147,(08) 8956 4011,Yuendumu,"Yuendumu, via Alice Springs",NT
Yuendumu Pre School,Conniston Rd,,,,,,,Pre School,(08) 8956 4001,,,0,(08) 8956 4011,Yuendumu,,
Yulara Primary School,21 Winmati St,,yulara.school@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 2535,,,57,(08) 8956 2014,Yulara,"PO Box 146, Yulara",NT
